keyword,tanggal,username,name,tweet,total retweet,total like,url ID,location,source
omnibuslaw,2020-10-11 02:48:19,Nira03036345,Nira,UU CIPTA KERJA Bermanfaat bagi masyarakat dan buruh ruuciptakerja ruuciptakerjatingkatkaninvestasi dukungomnibuslaw omnibuslawpropekerja Omnibuslaw,0,0,https://twitter.com/twitter/statuses/1315122024180707328,,Twitter for Android
omnibuslaw,2020-10-11 02:48:14,KhotimahVenna,Venna Nurul khotimah,Sebuah Ceritafoto tentang aksi penolakan UU Cipta Kerja Omnibuslaw pada kamis 8 10 20 di Harmoni Jakarta Pusat berujung ricuh Bentrokan antara polisi dan massa aksi tidak terhindarkan sejak sore hingga malam hari Sebuah Utas,625,1442,https://twitter.com/twitter/statuses/1315122005595701250,,Twitter for Android
omnibuslaw,2020-10-11 02:48:01,1y3myouuu,Wibisana,Banyak hikmah positif dr OmnibusLaw,0,0,https://twitter.com/twitter/statuses/1315121951715676161,,Twitter for iPhone
omnibuslaw,2020-10-11 02:47:38,Koces871,Anak Tidore,1 DEMI KEADILAN LBH BANG JAPAR Buka Crisis Center Bagi yg merasa kehilangan keluarga amp mbutuhkan bantuan hukum advokasi pasca unjuk rasa amp penyampaian pendapat terkait pengesahan Omnibuslaw UU Cipta Kerja di wilayah Jakarta LBH Bang Japar siap melakukan advokasi,1900,3265,https://twitter.com/twitter/statuses/1315121853963268097,"Maluku Utara, Indonesia",Twitter for Android
omnibuslaw,2020-10-11 02:47:26,JuraganMug1,#souvenirmugOposisi,INSTRUKSI ANAK NKRI Kpd Korda amp Korwil ANAK NKRI Di Seluruh Indonesia Untuk Mengadakan AKSI PENOLAKAN UU CIPTAKER DAN TUNTUAN DIKELUARKANNYA PERPPU Serentak Di Wilayah Masing Pada SELASA 13 OKTOBER 2020 SALAM PERJUANGAN DARI KOMITE KERJA ANAK NKRI,24,38,https://twitter.com/twitter/statuses/1315121805326127106,,Twitter for Android
omnibuslaw,2020-10-11 02:47:19,SMILE39461132,Dedi Ekadibrata,Sobat tak usah sok konstitusional tuntut Perpu Omnibuslaw atau ajak JR ke MK Itu semua omong kosong UU Tax Amnesti UU KPK serta UU darurat Covid sudah pernah didesak keluarkan Perpu tapi semuanya hanya jadi pimpong Gugatan ke MK hanya kanalisasi kemarahan PEOPLE POWER,146,322,https://twitter.com/twitter/statuses/1315121776398004225,"Bogor Selatan, Indonesia",Twitter for Android
omnibuslaw,2020-10-11 02:47:11,alimulchemical1,Cewang di langik tando paneh,Gais tlg viralkan Teman2ku ini dipukuli sama oknum polisi Demo OmnibusLaw PolisiAnarkis,14348,25383,https://twitter.com/twitter/statuses/1315121742310858752,"padang, sumbar",Twitter for Android
omnibuslaw,2020-10-11 02:46:55,Chebby_c_coplax,Chebby c_coplax,PENGHIANATAN terhadap perjuangan saat ini adalah melakukan uji materi UU Omnibuslaw ke MK TolakOmnibusLaw StopBayarPajak,0,0,https://twitter.com/twitter/statuses/1315121674891616256,,Twitter for Android
omnibuslaw,2020-10-11 02:46:55,ChengHo48078612,Chengharrrr,Muhammadiyah dan PBNU Keberatan Soal Pengesahan Omnibuslaw Muhammadiyah secara resmi pada tanggal 8 Juni 2020 mengirim surat kepada DPR dan Presiden yang intinya menolak dan meminta supaya pembahasan RUU tersebut dihentikan Muhammadiyah OmnibusLaw,818,1810,https://twitter.com/twitter/statuses/1315121673650147331,,Twitter for Android
omnibuslaw,2020-10-11 02:46:55,abdulhusdin,Bang Udin,Sobat tak usah sok konstitusional tuntut Perpu Omnibuslaw atau ajak JR ke MK Itu semua omong kosong UU Tax Amnesti UU KPK serta UU darurat Covid sudah pernah didesak keluarkan Perpu tapi semuanya hanya jadi pimpong Gugatan ke MK hanya kanalisasi kemarahan PEOPLE POWER,146,322,https://twitter.com/twitter/statuses/1315121673125851137,,Twitter for Android
omnibuslaw,2020-10-11 02:46:53,dsmnrls,👏 Desmon,Jangan malu terlihat miskin malulah terlihat mendukung atau menolak OmnibusLaw tapi sebenernya ga faham,19,52,https://twitter.com/twitter/statuses/1315121667157315584,Medan • Buitenzorg • Batavia,Twitter Web App
omnibuslaw,2020-10-11 02:46:50,iikhryh,maru,Sebuah Ceritafoto tentang aksi penolakan UU Cipta Kerja Omnibuslaw pada kamis 8 10 20 di Harmoni Jakarta Pusat berujung ricuh Bentrokan antara polisi dan massa aksi tidak terhindarkan sejak sore hingga malam hari Sebuah Utas,625,1442,https://twitter.com/twitter/statuses/1315121651575525379,,Twitter for Android
omnibuslaw,2020-10-11 02:46:49,BicaraTeh,BicaraTea,Temani dengan minuman teh Setebal apapun semua bacaan terselesai dan mudah dipahami bicarateh NilaiTwitterSaya RUUCiptaKerja OmnibusLaw Baca dahulu baru bertindak,0,0,https://twitter.com/twitter/statuses/1315121647830003713,"Jakarta Capital Region, Indonesia",Twitter for Android
omnibuslaw,2020-10-11 02:46:38,MasLan16147442,Mas Lan,Sobat tak usah sok konstitusional tuntut Perpu Omnibuslaw atau ajak JR ke MK Itu semua omong kosong UU Tax Amnesti UU KPK serta UU darurat Covid sudah pernah didesak keluarkan Perpu tapi semuanya hanya jadi pimpong Gugatan ke MK hanya kanalisasi kemarahan PEOPLE POWER,146,322,https://twitter.com/twitter/statuses/1315121601034162176,,Twitter for Android
omnibuslaw,2020-10-11 02:46:36,ATxkediri,Anton Txkediri,Salah satunya kejadian yang viral di laman media sosial ketika demo menolak omnibuslaw cipta kerja adalah seorang ibu berdaster yang masuk ke area unjuk rasa atau demo Tonton Insert Trans TV setiap hari dan streamingnya di InsertTTV InsertLive,23,47,https://twitter.com/twitter/statuses/1315121594465841154,,Twitter for Android
omnibuslaw,2020-10-11 02:46:33,yolapuspita_,yola,Sebuah Ceritafoto tentang aksi penolakan UU Cipta Kerja Omnibuslaw pada kamis 8 10 20 di Harmoni Jakarta Pusat berujung ricuh Bentrokan antara polisi dan massa aksi tidak terhindarkan sejak sore hingga malam hari Sebuah Utas,625,1442,https://twitter.com/twitter/statuses/1315121582235217920,Indonesia,Twitter for Android
