keyword,tanggal,username,name,tweet,total retweet,total like,url ID,location,source
indihome,2020-10-14 00:20:05,girlfriendkth,andienaakysh_,sayangnya gua gapake indihome wkwk,0,0,https://twitter.com/twitter/statuses/1316171884552044544,,Twitter for Android
indihome,2020-10-14 00:19:44,kalengcornet,Mas.em,punteun aya masalah naon jeung discord hayoh weh kieu cik ai boga masalah jeung discord obrolkeun baik baik ulah hare hare,0,0,https://twitter.com/twitter/statuses/1316171795708309504,"6° 54′ 53.08″ S, 107° 36′ 35.3",Twitter for Android
indihome,2020-10-14 00:17:29,catsukare,ya kare,indihome asuw,0,0,https://twitter.com/twitter/statuses/1316171231956094977,,Twitter for Android
indihome,2020-10-14 00:16:38,liecomins,H A K U,ada penjelasan khusus mungkin dari,0,0,https://twitter.com/twitter/statuses/1316171016352088064,Yogyakarta ,Twitter for Android
indihome,2020-10-14 00:16:18,ngemiel,sedang,kapan indihome tau cepet,0,0,https://twitter.com/twitter/statuses/1316170933183209472,,Twitter Web App
indihome,2020-10-14 00:16:13,rusmanasidik_,Vasko prikitiw,selamat pagi pak sacho baik kami periksa terlebih dahulu yaa vasko,0,0,https://twitter.com/twitter/statuses/1316170912916365312,"Bogor, Jawa Barat",Twitter for Android
indihome,2020-10-14 00:16:00,IndiHome,IndiHome,ar kak dirgan laporan koneksi internet nya udah dame bantu koordinasikan via dm ya cek dulu yuk kak dame,0,0,https://twitter.com/twitter/statuses/1316170857346203650,,IndiHomeDigitalMedia
indihome,2020-10-14 00:14:31,itsmaritaaa,Marita,ngakak,0,0,https://twitter.com/twitter/statuses/1316170485143486464,Indonesia,Twitter for Android
indihome,2020-10-14 00:14:30,bambamtuanss,jinyy GOLCHA KAMBEK,oke makasih,0,0,https://twitter.com/twitter/statuses/1316170482190696449,got7 golden child the boyz,Twitter Web App
indihome,2020-10-14 00:14:08,IndomaRai_,Rainayl🌿,belum diminta manggil baginda,134,2331,https://twitter.com/twitter/statuses/1316170388456390656,,Twitter for Android
indihome,2020-10-14 00:13:38,helloovict,gracevictoryy,min tolong liat pesan saya wifi saya gabisa,0,0,https://twitter.com/twitter/statuses/1316170263474532352,,Twitter for iPhone
indihome,2020-10-14 00:12:30,mbahpurwae,Mbah Pur Wae,tagihan sudah di bayar tagihan berjalan juga sudah lunas jadi waktu pemasangan awal minta deposit itu buat pesangon pas waktu kita berhenti langganan jd kawan2 kalau mau berhenti langganan tagihan terakhir mending gak usah di bayar karna deposit gak di refund,0,0,https://twitter.com/twitter/statuses/1316169975405580289,,Twitter for Android
indihome,2020-10-14 00:12:09,petraLM10,Petpet,indihome asik juga,0,0,https://twitter.com/twitter/statuses/1316169890584121344,Live or death sicuwesion,Twitter Web App
indihome,2020-10-14 00:11:42,raibrabbit_,- R A R A -,galau ga kuliah online galau pgn pasang indihome tapi ga ada duit,0,0,https://twitter.com/twitter/statuses/1316169777597964288,,Twitter for Android
indihome,2020-10-14 00:11:27,RyekaLee,ᴸ𝓡𝔂𝓮,panggil saya istri sehun,0,0,https://twitter.com/twitter/statuses/1316169711902580737,EXO Planet,Twitter Web App
indihome,2020-10-14 00:11:25,bambamtuanss,jinyy GOLCHA KAMBEK,kak bambam,0,1,https://twitter.com/twitter/statuses/1316169705791447040,got7 golden child the boyz,Twitter Web App
indihome,2020-10-14 00:10:50,cikgubewsar,sensitive human🌞,cobain dulu pake indihome,0,0,https://twitter.com/twitter/statuses/1316169558244257792,"Depok, Indonesia",Twitter for Android
indihome,2020-10-14 00:10:49,ellysgitaa,E!,ini masih pada molor apa gimana,0,0,https://twitter.com/twitter/statuses/1316169552410025985,near earth,Twitter for Android
indihome,2020-10-14 00:10:24,tahulku,Akbar,ada yg putus bil kabel nya hubungi teknisi aja via aplikasi,0,0,https://twitter.com/twitter/statuses/1316169448781275136,KL,Twitter Web App
indihome,2020-10-14 00:10:12,IndiHome,IndiHome,hallo sobat mengenai kendalanya saskia cek sudah terdapat pelaporan dinomor tiket in 77 65 31 59 saat ini masih dalam penanganan dan sudah dibantu follow up agar dilakukan percepatan berkenan menunggu progress selanjutnya ya oh iya saskia sarankan un 1 2,0,0,https://twitter.com/twitter/statuses/1316169396772110337,,IndiHomeDigitalMedia
indihome,2020-10-14 00:09:21,stardustinsoul,acil,kok wifi dirumah aku lemot,0,0,https://twitter.com/twitter/statuses/1316169186117218304,museum,Twitter for iPhone
indihome,2020-10-14 00:09:18,syifu,🐥,jangan ngadi ngadi please wifi no internet connection jam 8 ada sekolah daring kindly check your dm asap trims,0,0,https://twitter.com/twitter/statuses/1316169172900933632,🇮🇩,Twitter for Android
indihome,2020-10-14 00:08:50,AsadUmay,Asad Umay,pggl aku fadhilatus syeikh al kiram umay,0,0,https://twitter.com/twitter/statuses/1316169054768427008,"Yogyakarta, Indonesia",Twitter Web App
indihome,2020-10-14 00:08:42,KangMmman,aafif...01,mana sebentar lagi ada kelas ni pak,0,0,https://twitter.com/twitter/statuses/1316169020932988931,,Twitter for Android
indihome,2020-10-14 00:07:59,dwip_aji,Dwi P. Aji,xxx465 apakah sdg gangguan,0,0,https://twitter.com/twitter/statuses/1316168839286059009,Indonesia,Twitter for Android
indihome,2020-10-14 00:07:49,akukangatauu,vaa,indihome ibarat siput yang berjalan,0,0,https://twitter.com/twitter/statuses/1316168798488072192,"Tabanan, Indonesia",Twitter for Android
indihome,2020-10-14 00:07:20,KangMmman,aafif...01,mon maap ni pak kenapa wifi di rumah saya lemot sekali lokasi sidoarjo kec taman sepanjang,0,0,https://twitter.com/twitter/statuses/1316168678950400000,,Twitter for Android
indihome,2020-10-14 00:06:53,whiteswann75,naw 🦢,halo mas atau mbak kok jaringan aku lemot banget sih,0,0,https://twitter.com/twitter/statuses/1316168561920884736,She/her ,Twitter for Android
indihome,2020-10-14 00:06:42,Sparrowexpert,TheDucktator,iy walaupun bisa di buka sama aja ngelag banget jadinya kadang gak bisa di buka sama sekali,0,0,https://twitter.com/twitter/statuses/1316168519369678848,Local pond,Twitter Web App
indihome,2020-10-14 00:06:16,IndiHome,IndiHome,halo kak ibnu maaf atas ketidaknyamanannya doru lakukan pengecekkan pada layanan indihome yang kakak gunakan saat ini terkena dampak dari pemeliharaan jaringan di lokasinya dan sedang dalam proses penanganan oleh tim terkait kami upayakan layanan indi 1 2,0,0,https://twitter.com/twitter/statuses/1316168410380804096,,IndiHomeDigitalMedia
indihome,2020-10-14 00:05:56,adeliayuuu,Adel 🦄,indihome knp si sinyalnya ga stabil mulu dari kmaren buat zoom putus2 mulu aelah,0,0,https://twitter.com/twitter/statuses/1316168325135699968,"Jawa Timur, Indonesia",Twitter for iPhone
indihome,2020-10-14 00:05:15,IndiHome,IndiHome,selamat pagi kak prully maaf atas ketidaknyamanannya ya kak perihal kendalanya silakan informasikan nomor layanan atas nama layanan dan nomor hp aktifnya via dm terlebih dahulu guna dibantu pengecekan lebih lanjut ya kak ditunggu kak terima kasih yaya,0,0,https://twitter.com/twitter/statuses/1316168154645753864,,IndiHomeDigitalMedia
